size,stones,score_komi,score_neural,winrate_komi
9,BA1 BD5,5.5,6.09654689,0.012592928999999975
9,BA1 BD6,5.5,5.83565452,0.06241888499999998
9,BA1 BD7,5.0,5.33364071,0.020366561999999977
9,BA1 BD8,3.5,3.46081181,0.033829898000000025
9,BA1 BD9,-2.0,-1.09522959,0.04696002099999996
9,BA1 BE5,5.5,5.86828842,0.013051831999999985
9,BA1 BE6,5.5,5.8605313,0.043836162999999984
9,BA1 BE7,5.0,5.51989797,0.036113795000000004
9,BA1 BE8,3.5,3.86671684,0.023127318000000008
9,BA1 BE9,-1.5,-0.723309342,0.02231365799999996
9,BA1 BF6,5.5,5.59904416,0.01735756999999999
9,BA1 BF7,5.0,5.40913173,0.0020901640000000055
9,BA1 BF8,3.5,3.51871904,0.027814276000000027
9,BA1 BF9,-1.5,-1.04543659,0.04603175500000001
9,BA1 BG7,4.0,4.02100764,0.012460524999999945
9,BA1 BG8,2.0,1.96140234,0.038820115000000044
9,BA1 BG9,-2.5,-1.92434738,0.032798417999999996
9,BA1 BH8,0.0,0.286712299,0.0014378629999999837
9,BA1 BH9,-3.0,-2.41648795,0.020644598999999986
9,BA1 BJ9,-7.5,-6.63555257,0.054877723000000045
9,BA1 WA2,3.0,2.56450429,0.023209319000000006
9,BA1 WA3,2.0,1.59482636,0.004945253000000038
9,BA1 WA4,1.0,0.745248535,0.02970162300000001
9,BA1 WA5,1.0,0.604169872,0.021685232
9,BA1 WA6,1.5,0.852896792,0.040272892000000005
9,BA1 WA7,2.0,1.70152861,0.008781744999999952
9,BA1 WA8,2.5,2.0428781,0.009477314000000014
9,BA1 WA9,6.0,6.05958037,0.055238083999999965
9,BA1 WB2,-1.0,-0.923449878,0.03224605800000002
9,BA1 WB3,-3.0,-2.47603226,0.025008011000000052
9,BA1 WB4,-4.0,-3.93114897,0.058531427000000025
9,BA1 WB5,-4.0,-4.30767594,0.04174018800000001
9,BA1 WB6,-4.0,-3.70744195,0.044904482999999995
9,BA1 WB7,-3.0,-2.34164772,0.04048276900000003
9,BA1 WB8,-1.0,-0.589027265,0.03291187900000003
9,BA1 WB9,2.5,2.01064356,0.009338122999999976
9,BA1 WC3,-5.0,-4.3543123,0.004700721000000019
9,BA1 WC4,-6.0,-6.00378683,0.016343258000000027
9,BA1 WC5,-6.5,-6.11747222,0.0022300750000000535
9,BA1 WC6,-6.0,-5.8418343,0.01250202899999997
9,BA1 WC7,-5.0,-4.51539858,0.02997012600000004
9,BA1 WC8,-3.0,-2.31418924,0.029625880999999965
9,BA1 WC9,2.0,1.59870895,0.018291190999999984
9,BA1 WD4,-7.0,-6.44094145,0.060270657000000005
9,BA1 WD5,-7.0,-6.74261424,0.04773580700000002
9,BA1 WD6,-7.0,-6.52698107,0.04507340599999998
9,BA1 WD7,-6.0,-5.83376528,0.007370028999999945
9,BA1 WD8,-4.0,-3.80626215,0.04481822899999999
9,BA1 WD9,1.0,0.87913889,0.04675401999999995
9,BA1 WE5,-6.5,-6.44110719,0.05130843800000001
9,BA1 WE6,-7.0,-6.73401154,0.05930094100000005
9,BA1 WE7,-6.5,-5.97215215,0.03637222600000001
9,BA1 WE8,-4.5,-4.32441841,0.013511853000000018
9,BA1 WE9,1.0,0.589100465,0.0007638609999999768
9,BA1 WF6,-7.0,-6.27290727,0.06115736199999999
9,BA1 WF7,-6.0,-5.89261313,0.029896687000000033
9,BA1 WF8,-4.0,-3.77345068,0.03957978099999998
9,BA1 WF9,1.5,0.902379067,0.045498282
9,BA1 WG7,-5.0,-4.42090747,0.037108315
9,BA1 WG8,-3.0,-2.43276384,0.024419280000000043
